DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,D_NAME,D_CODE,S_NAME,S_CODE
10017,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10023,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10027,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10033,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10038,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10040,Andaman & Nicobar Islands,639,North & Middle Andaman,U,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10042,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10043,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10056,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10067,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10071,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10072,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10075,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10079,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10080,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10085,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10101,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10105,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10109,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10115,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10152,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10160,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10168,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10171,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10179,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10186,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10189,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10193,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
10200,Andaman & Nicobar Islands,639,North & Middle Andaman,R,North  & Middle Andaman,639,ANDAMAN & NICOBAR,35
