DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,dtname,stname,stcode11,dtcode11,year_stat,Dist_LGD,State_LGD,JID,flag
140021,Jammu & Kashmir,1,Kupwara,U,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140025,Jammu & Kashmir,1,Kupwara,U,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140049,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140127,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140204,Jammu & Kashmir,1,Kupwara,U,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140215,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140234,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140235,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140273,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140274,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140422,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140432,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140468,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140507,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140510,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140560,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140581,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140602,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140627,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140652,Jammu & Kashmir,1,Kupwara,U,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140708,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140717,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140762,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140770,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140779,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140813,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140831,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140848,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140856,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140870,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140873,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140875,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140911,Jammu & Kashmir,1,Kupwara,U,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140928,Jammu & Kashmir,1,Kupwara,R,Kupwara,JAMMU & KASHMIR,01,001,2011_c,8,1,598,NA
140012,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140043,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140066,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140081,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140124,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140128,Jammu & Kashmir,11,Ganderbal,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140138,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140157,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140195,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140197,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140206,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140207,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140232,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140298,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140306,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140307,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140336,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140370,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140386,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140402,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140412,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140466,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140524,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140526,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140531,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140534,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140564,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140568,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140579,Jammu & Kashmir,11,Ganderbal,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140619,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140680,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140681,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140736,Jammu & Kashmir,8,Baramula,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140782,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140784,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140804,Jammu & Kashmir,9,Bandipore,U,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140806,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140841,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140843,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140858,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140869,Jammu & Kashmir,9,Bandipore,R,Bandipore,JAMMU & KASHMIR,01,009,2011_c,623,1,599,NA
140013,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140024,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140065,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140086,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140099,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140158,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140163,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140166,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140190,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140192,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140199,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140225,Jammu & Kashmir,1,Kupwara,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140252,Jammu & Kashmir,1,Kupwara,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140265,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140277,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140288,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140297,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140343,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140365,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140398,Jammu & Kashmir,8,Baramula,U,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140415,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140424,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140426,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140437,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140467,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140557,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140582,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
140585,Jammu & Kashmir,8,Baramula,R,Baramula,JAMMU & KASHMIR,01,008,2011_c,3,1,600,NA
