DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,REGNAME,OTHREGNA,OTHREGCO,REGCODE,SVYYEAR,REG_ID,flag
140021,Jammu & Kashmir,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140025,Jammu & Kashmir,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140049,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140127,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140204,Jammu & Kashmir,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140215,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140234,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140235,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140273,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140274,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140422,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140432,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140468,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140507,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140510,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140560,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140581,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140602,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140627,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140652,Jammu & Kashmir,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140708,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140717,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140762,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140770,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140779,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140813,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140831,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140848,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140856,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140870,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140873,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140875,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140911,Jammu & Kashmir,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140928,Jammu & Kashmir,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA,NA
140005,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140010,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140011,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140014,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140017,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140038,Jammu & Kashmir,2,Badgam,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140052,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140061,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140088,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140093,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140094,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140123,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140205,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140214,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140226,Jammu & Kashmir,2,Badgam,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140248,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140261,Jammu & Kashmir,2,Badgam,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140299,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140302,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140305,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140318,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140359,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140364,Jammu & Kashmir,2,Badgam,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140391,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140394,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140417,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140464,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140490,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140547,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140578,Jammu & Kashmir,10,Srinagar,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140586,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140590,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140629,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140713,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140720,Jammu & Kashmir,2,Badgam,U,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140734,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140758,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140793,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140826,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140844,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140879,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140892,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140917,Jammu & Kashmir,2,Badgam,R,Badgam,Jammu & Kashmir,1,2,2020,NA,NA
140044,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140067,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140070,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140078,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140130,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140220,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140221,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140266,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140303,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140321,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140324,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140330,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140338,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140373,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140388,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140449,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140450,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140471,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140488,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140550,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140604,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140606,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140608,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140623,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140636,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140639,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140640,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140654,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140661,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140696,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140697,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140773,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
140774,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140794,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140832,Jammu & Kashmir,3,Leh,R,Leh,Ladakh,37,3,2020,NA,NA
140854,Jammu & Kashmir,3,Leh,U,Leh,Ladakh,37,3,2020,NA,NA
